name,flux [Jy/BA],+/-,mass [M_sol x10^6],+/-
MESSIER033,16843.696354881176,2.083333333333333,2872.0186654707886,3.5522916666666652e-06
UGC01281,72.79798428278491,1.0986328124999998,419.2617618614354,6.327300585937499e-05
KK230,21.31456683836273,0.19531249999999997,23.036476909139967,2.1109093749999994e-06
KKH5,27.393617221022524,0.43945312499999994,117.87375968928684,1.8909511523437494e-05
UGC08508,53.01092149698726,0.6347656249999999,90.52778965446647,1.0840016992187496e-05
Cepheus1,266.06513507856147,1.0742187499999998,2260.489387627458,9.126562499999997e-05
KKH12,12.548328774327851,1.0742187499999998,26.652650316672354,2.2816406249999993e-05
Dw1,375.7668996296452,2.303059895833333,695.2589483707545,4.2612135416666654e-05
Dw2,364.3290362001331,1.0416666666666665,773.8348728890826,2.2124999999999996e-05
Maffei2,154.12247555655932,1.1800130208333333,285.1635691737683,2.183307291666666e-05
NGC6946,800.6663904187207,2.2135416666666665,6555.3244419986895,0.00018123008489583328
UGC11583,747.5960181916585,2.2135416666666665,6120.819494158812,0.00018123008489583328
NGC4605,64.6406252319878,2.2135416666666665,456.4489413068929,0.00015630553489583328
UGCA105,439.29678551806734,2.3356119791666665,1028.7056756155134,5.469325927734374e-05
NGC2403,2418.7974658780026,3.0029296874999996,5772.524008570953,7.166570976562498e-05
UGC07242,6.453578768080366,1.7333984374999998,44.741567072142104,0.00012017357382812498
CamB,33.21909790724705,0.9521484374999999,87.4566365929241,2.506741757812499e-05
DDO165,89.67133140282645,1.1881510416666665,441.9753222547141,5.8562021028645824e-05
IC0342,4454.062579510851,1.4160156249999998,11308.786497876647,3.595238749999999e-05
IC2574,642.3636126782676,1.2939453124999998,2449.881290612906,4.9349190234374976e-05
Cas1,210.72773055486812,1.1393229166666665,541.5786966352331,2.9281054687499988e-05
NGC2366,585.5701793773535,1.7008463541666665,1406.2816857574053,4.084683889973958e-05
NGC4236,364.00073977501387,1.668294270833333,1701.1174172571523,7.796589762369791e-05
NGC6503,201.94304954428682,2.278645833333333,1323.6164124824913,0.0001493516627604166
