name,flux [Jy/BA],+/-,mass [M_sol x10^6],+/-
LeoT,14.24698471470026,0.2522786458333333,0.5931076724668576,1.0502460937499996e-07
MESSIER033,16967.020423500217,1.8310546874999998,2893.046652411021,3.122131347656249e-06
LeoA,161.6470917592359,0.4801432291666666,25.02937102916339,7.4345185546875e-07
UGC01281,53.262772536855316,1.7333984374999998,306.75360142777504,9.983074257812499e-05
KK230,15.341232546781749,0.6591796874999999,16.58058322281304,7.124319140624999e-06
NGC0404,84.59564795645846,0.8544921874999999,185.72043956712932,1.8759436035156242e-05
KKH5,18.634968329834575,0.47200520833333326,80.18560531840562,2.031021608072916e-05
UGC08508,27.2562655342187,0.5533854166666666,46.546058875589736,9.45027122395833e-06
Cepheus1,186.3003995698615,0.7568359374999999,1582.8081947455432,6.430078124999999e-05
KKH12,21.87667820236042,0.5940755208333333,46.46606450181353,1.2618164062499998e-05
Dw2,35.163887366884914,1.1067708333333333,74.68809676726356,2.3507812499999996e-05
NGC6946,986.3829113060336,1.2044270833333333,8075.84792496753,9.861048736979164e-05
KKR55,42.286513218813255,0.34993489583333326,346.21387507626025,2.8650344303385405e-05
NGC4605,82.77315278976168,1.5787760416666665,584.4887456444945,0.00011148262415364581
UGCA105,388.64628546995885,1.1067708333333333,910.0968931478573,2.5917363281249998e-05
UGCA092,157.54580825663686,0.5045572916666666,336.86186346308546,1.078836126302083e-05
NGC1569,64.52449056482597,0.7242838541666665,142.58683868526185,1.6005294140624997e-05
NGC2403,2523.5836197851963,1.765950520833333,6022.598931224934,4.214487539062499e-05
UGC07242,27.57429506898829,0.8544921874999999,191.16791111285212,5.924049414062499e-05
DDO053,37.60111570255823,0.5696614583333333,112.46379399243432,1.7038401041666664e-05
CamB,9.720062885793977,0.5940755208333333,25.59021951278814,1.564035455729166e-05
DDO165,75.61723388975369,0.9114583333333333,372.70497486313155,4.492429010416666e-05
NGC2976,26.713544506914186,0.36621093749999994,79.89939952842731,1.0953257812499998e-05
IC0342,4792.138831203104,0.8870442708333333,12167.15615078125,2.252189791666666e-05
IC2574,665.351093492967,1.1393229166666665,2537.552195462963,4.3452117187499976e-05
HIJASSJ1021+6842,44.65675613873799,0.6673177083333333,144.27883400328028,2.155996744791666e-05
NGC3077,358.00227012718165,0.5371093749999999,1232.890509078517,1.8497007031249995e-05
Cas1,84.96577380241305,0.6673177083333333,218.36543730315358,1.7150332031249995e-05
NGC2366,472.4521918270765,1.1067708333333333,1134.622096823357,2.6579761197916664e-05
NGC4236,604.7373830045505,1.1393229166666665,2826.1736383596367,5.324500325520833e-05
NGC6503,144.1628898539845,1.0742187499999998,944.9018795756712,7.040864101562496e-05
UGC06456,18.595058719782262,0.43945312499999994,83.04013967551882,1.962470214843749e-05
UGC08245,9.8759806457083,0.9521484374999999,9.229929545396388,8.898623144531249e-06
KKH37,53.9649374768096,0.2522786458333333,146.3602280826295,6.8421389648437486e-06
