group,m_dist,flux,uncert,mass
02,8.035,549.8449903745545,0.24884252687859137,8377.685208731891
03,7.2,510.5376425617004,0.2460321689100093,6246.0400481340575
04,16.15,15.794721202029871,0.13446217156460205,972.2300062890787
05,4.9350000000000005,141.5705074106224,0.1862878115602148,813.6902378388221
06,2.9,542.9756017745976,0.22844513098336908,1077.6762553781505
07,8.5,744.9452506320052,0.27978700256626104,12702.06146852632
09,3.475,1172.1886209664785,0.28471444799049317,3340.5588109897662
12,7.555,66.07187735884662,0.15049838874435975,890.0155351737027
13,7.3774999999999995,89.45463591988728,0.20361321619786463,1149.0350903265885
15,4.305,28.68510651765046,0.11680257238287207,125.46274390774981
16,4.26,140.84345671864662,0.1685572524186847,603.2090887747655
17,8.020000000000001,441.59779956379276,0.28622241853953406,6703.284317266864
19,7.35,43.3056984230324,0.15696046160470303,552.1177739617513
20,7.536666666666666,3237.4314600185694,0.4049432065307529,43398.148436287716
21,6.45,408.31369715504184,0.24670420558633,4008.9014582706604
23,3.4699999999999998,529.7813507564483,0.20377578166583518,1505.454446852303
