group,rv,+/-,w50,+/-
02,259.0321661969547,5.1528598764882645,48.952168826737505,2.5764299382441322
03,412.3297475227276,5.1528598764882645,252.49013394832002,2.5764299382441322
04,329.88398949880025,20.611439505952717,103.05719752992991,10.305719752976358
05,203.63892252462358,5.152859876488151,113.3629172829396,2.5764299382440754
06,296.3904003015606,5.1528598764882645,56.68145864146976,2.5764299382441322
07,381.4125882637652,20.611439505886096,206.11439505985987,10.305719752943048
09,206.2153524628677,2.5764299381775686,162.3150861097104,1.2882149690887843
12,432.94118702871356,20.611439506019224,123.66863703591594,10.305719753009612
13,515.3869450526907,41.222879011905434,103.05719752989665,20.611439505952717
15,278.3553907338353,20.611439506019167,82.44575802394397,10.305719753009583
16,197.1978476790134,5.152859876554771,79.86932808569986,2.5764299382773856
17,463.8583462877092,41.222879011905434,164.891516047888,20.611439505952717
19,484.46978579369517,41.222879011905434,41.222879011905434,20.611439505952717
20,248.72644644394506,2.5764299382440186,152.00936635670075,1.2882149691220093
21,319.57826974579064,5.152859876554771,149.43293641839006,2.5764299382773856
23,159.83961357440754,2.5764299382441322,56.68145864150307,1.2882149691220661
