Group,flux [Jy km/s /BA],uncert
01,27.129008678469937,0.23246837332496254
02,549.8449903745545,0.24884252687859137
04,15.794721202029871,0.13446217156460205
05,141.5705074106224,0.1862878115602148
06,542.9756017745976,0.22844513098336908
07,744.9452506320052,0.27978700256626104
09,1164.009926490239,0.20970212771362504
12,74.1648875437938,0.15181281010886744
15,26.45164475999437,0.09629036105305364
16,141.85969655106703,0.14895023777443947
17,449.93700361190935,0.18486029771485266
19,49.12269298022428,0.1482817965355517
21,378.84132552531327,0.20731997400483393
23,515.71501942791,0.17012162239881898
26,56.68944507893419,0.12763986931443783
